adsh,cik,ticker,name,sec_url,accepted_filing_time,accepted_filing_date
0001140361-19-002195,67347,MOD,MODINE MANUFACTURING CO,https://www.sec.gov/Archives/edgar/data/67347/000114036119002195/0001140361-19-002195.txt,2019-02-01 11:02:00,2019-02-01
0001140361-18-041845,67347,MOD,MODINE MANUFACTURING CO,https://www.sec.gov/Archives/edgar/data/67347/000114036118041845/0001140361-18-041845.txt,2018-10-31 11:18:00,2018-10-31
0001140361-19-020095,67347,MOD,MODINE MANUFACTURING CO,https://www.sec.gov/Archives/edgar/data/67347/000114036119020095/0001140361-19-020095.txt,2019-11-08 10:50:00,2019-11-08
0001140361-18-035022,67347,MOD,MODINE MANUFACTURING CO,https://www.sec.gov/Archives/edgar/data/67347/000114036118035022/0001140361-18-035022.txt,2018-08-02 10:38:00,2018-08-02
0001140361-18-004075,67347,MOD,MODINE MANUFACTURING CO,https://www.sec.gov/Archives/edgar/data/67347/000114036118004075/0001140361-18-004075.txt,2018-01-31 10:42:00,2018-01-31
0001140361-16-084453,67347,MOD,MODINE MANUFACTURING CO,https://www.sec.gov/Archives/edgar/data/67347/000114036116084453/0001140361-16-084453.txt,2016-11-02 10:43:00,2016-11-02
0001140361-19-013948,67347,MOD,MODINE MANUFACTURING CO,https://www.sec.gov/Archives/edgar/data/67347/000114036119013948/0001140361-19-013948.txt,2019-08-01 10:56:00,2019-08-01
0001171843-17-000709,796505,CLFD,"CLEARFIELD, INC.",https://www.sec.gov/Archives/edgar/data/796505/000117184317000709/0001171843-17-000709.txt,2017-02-07 11:01:00,2017-02-07
0001171843-17-004460,796505,CLFD,"CLEARFIELD, INC.",https://www.sec.gov/Archives/edgar/data/796505/000117184317004460/0001171843-17-004460.txt,2017-07-31 11:01:00,2017-07-31
0001171843-20-003168,796505,CLFD,"CLEARFIELD, INC.",https://www.sec.gov/Archives/edgar/data/796505/000117184320003168/0001171843-20-003168.txt,2020-05-01 12:01:00,2020-05-01
0001171843-20-000543,796505,CLFD,"CLEARFIELD, INC.",https://www.sec.gov/Archives/edgar/data/796505/000117184320000543/0001171843-20-000543.txt,2020-01-28 19:32:00,2020-01-28
0001171843-16-009660,796505,CLFD,"CLEARFIELD, INC.",https://www.sec.gov/Archives/edgar/data/796505/000117184316009660/0001171843-16-009660.txt,2016-05-04 11:01:00,2016-05-04
0001171843-16-007596,796505,CLFD,"CLEARFIELD, INC.",https://www.sec.gov/Archives/edgar/data/796505/000117184316007596/0001171843-16-007596.txt,2016-02-03 11:01:00,2016-02-03
0001171843-16-011454,796505,CLFD,"CLEARFIELD, INC.",https://www.sec.gov/Archives/edgar/data/796505/000117184316011454/0001171843-16-011454.txt,2016-08-03 11:01:00,2016-08-03
0001171843-20-005401,796505,CLFD,"CLEARFIELD, INC.",https://www.sec.gov/Archives/edgar/data/796505/000117184320005401/0001171843-20-005401.txt,2020-07-30 14:06:00,2020-07-30
0001171843-17-002642,796505,CLFD,"CLEARFIELD, INC.",https://www.sec.gov/Archives/edgar/data/796505/000117184317002642/0001171843-17-002642.txt,2017-05-04 10:01:00,2017-05-04
